X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
250000.0,2.0,2.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,71012.0,60816.0,59328.0,57692.0,52811.0,49067.0,2200.0,3003.0,2800.0,1834.0,1850.0,3000.0,0
90000.0,2.0,3.0,2.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,92290.0,90719.0,39902.0,39200.0,38531.0,32991.0,4183.0,1600.0,1280.0,1310.0,1432.0,1088.0,1
70000.0,2.0,1.0,2.0,30.0,1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-25.0,-25.0,-25.0,-50.0,-25.0,475.0,0.0,0.0,0.0,0.0,500.0,0.0,0
300000.0,2.0,1.0,1.0,32.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-227.0,44791.0,-649.0,129798.0,558.0,522.0,45018.0,0.0,130447.0,560.0,524.0,6776.0,0
260000.0,2.0,2.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,200964.0,205714.0,208756.0,168828.0,155644.0,159135.0,8000.0,8065.0,7000.0,10000.0,10000.0,10000.0,0
100000.0,2.0,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,100296.0,97239.0,98386.0,69324.0,53183.0,53559.0,3703.0,4091.0,3403.0,2001.0,2004.0,2000.0,0
240000.0,2.0,2.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,171907.0,171394.0,68907.0,70164.0,70672.0,69581.0,7200.0,3000.0,3000.0,2509.0,3000.0,2500.0,0
270000.0,1.0,1.0,2.0,36.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,11464.0,1879.0,6896.0,8583.0,880.0,4861.0,1879.0,6909.0,8587.0,880.0,4861.0,3212.0,0
300000.0,1.0,1.0,2.0,43.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,163.0,2508.0,8534.0,14378.0,16245.0,19047.0,2508.0,8534.0,14378.0,4000.0,6550.0,0.0,0
400000.0,1.0,3.0,1.0,43.0,-1.0,0.0,0.0,0.0,0.0,-1.0,145801.0,134269.0,100229.0,57583.0,8556.0,316.0,6100.0,26621.0,6600.0,406.0,316.0,316.0,0
300000.0,2.0,1.0,2.0,28.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30000.0,2.0,1.0,2.0,43.0,1.0,2.0,2.0,2.0,0.0,0.0,17775.0,18688.0,21488.0,20847.0,21162.0,21809.0,1500.0,3433.0,0.0,800.0,1000.0,1000.0,0
170000.0,2.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30552.0,29342.0,30544.0,30477.0,2609.0,1359.0,2500.0,2500.0,780.0,1100.0,400.0,918.0,0
50000.0,2.0,2.0,1.0,37.0,2.0,2.0,2.0,0.0,0.0,0.0,40994.0,43594.0,38222.0,13026.0,13268.0,13497.0,5500.0,0.0,580.0,600.0,600.0,600.0,1
170000.0,1.0,2.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,142118.0,144803.0,133868.0,119956.0,121277.0,122926.0,7040.0,6165.0,5004.0,5003.0,5001.0,5009.0,0
400000.0,1.0,1.0,2.0,27.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,3359.0,6790.0,7010.0,4111.0,24808.0,1839.0,6034.0,7060.0,4113.0,24838.0,1848.0,6546.0,0
260000.0,1.0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,234867.0,237497.0,215343.0,205576.0,207688.0,198955.0,10500.0,9150.0,7500.0,8000.0,7500.0,7100.0,0
100000.0,2.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,94745.0,96838.0,95732.0,91556.0,93403.0,95661.0,4600.0,4600.0,3500.0,3372.0,3793.0,4000.0,0
200000.0,2.0,1.0,2.0,29.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
160000.0,2.0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,80964.0,80337.0,82182.0,82586.0,85145.0,87049.0,4000.0,4000.0,3500.0,4000.0,4000.0,2500.0,0
360000.0,2.0,2.0,2.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,220.0,2755.0,1380.0,0.0,1999.0,-1.0,2755.0,1380.0,0.0,1999.0,0.0,500.0,0
200000.0,1.0,1.0,1.0,44.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,3983.0,4884.0,3165.0,0.0,0.0,0.0,4884.0,3165.0,0.0,0.0,0.0,0.0,0
20000.0,1.0,3.0,1.0,47.0,0.0,0.0,2.0,2.0,2.0,2.0,7384.0,9356.0,9400.0,10085.0,9785.0,10481.0,2108.0,352.0,837.0,0.0,855.0,0.0,0
310000.0,2.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,270776.0,263983.0,215686.0,186680.0,82775.0,107595.0,11080.0,8054.0,7037.0,2010.0,50186.0,2011.0,0
120000.0,2.0,2.0,1.0,46.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10000.0,1.0,2.0,2.0,23.0,-1.0,0.0,0.0,0.0,0.0,-2.0,10078.0,8886.0,8815.0,9600.0,0.0,0.0,1300.0,1300.0,1000.0,0.0,0.0,0.0,0
70000.0,2.0,2.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,66946.0,67741.0,68790.0,68523.0,29163.0,29247.0,3007.0,3248.0,2661.0,1135.0,1160.0,1169.0,0
50000.0,2.0,3.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,-2.0,73302.0,65931.0,58773.0,58918.0,0.0,0.0,2500.0,2428.0,1423.0,0.0,0.0,0.0,0
100000.0,1.0,2.0,2.0,25.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,49199.0,48285.0,390.0,390.0,390.0,390.0,1000.0,390.0,390.0,390.0,390.0,390.0,0
360000.0,2.0,2.0,1.0,49.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,0
30000.0,2.0,3.0,1.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,29278.0,30393.0,29785.0,30377.0,30155.0,31098.0,1600.0,1585.0,1377.0,1155.0,2600.0,0.0,1
230000.0,2.0,2.0,1.0,40.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1215.0,225.0,5703.0,6560.0,11560.0,0.0,525.0,5703.0,1000.0,5000.0,0.0,7790.0,0
240000.0,2.0,1.0,1.0,39.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
430000.0,2.0,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,345053.0,336467.0,321019.0,272838.0,206081.0,163130.0,13206.0,36000.0,30000.0,30000.0,30000.0,104000.0,0
40000.0,2.0,2.0,2.0,33.0,1.0,2.0,2.0,0.0,0.0,-1.0,21576.0,23242.0,21057.0,20746.0,20613.0,867.0,3000.0,0.0,1000.0,1062.0,1600.0,1542.0,0
40000.0,2.0,2.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,21960.0,21484.0,7145.0,2424.0,822.0,0.0,1176.0,1049.0,1000.0,0.0,0.0,0.0,0
80000.0,2.0,2.0,1.0,41.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,2727.0,1679.0,566.0,61664.0,58281.0,58281.0,1679.0,566.0,61664.0,0.0,0.0,4480.0,0
130000.0,1.0,3.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5444.0,5927.0,7106.0,7106.0,8106.0,9106.0,1321.0,1500.0,0.0,1000.0,1000.0,598.0,0
450000.0,1.0,1.0,2.0,28.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,9845.0,11991.0,17111.0,19585.0,9756.0,3282.0,3000.0,10000.0,3000.0,10000.0,3300.0,326.0,0
50000.0,2.0,3.0,1.0,36.0,-2.0,2.0,2.0,0.0,0.0,0.0,51741.0,96172.0,48827.0,38600.0,19541.0,19795.0,300.0,5222.0,2034.0,744.0,5200.0,790.0,0
200000.0,1.0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,162439.0,92626.0,73816.0,79033.0,79539.0,80584.0,4000.0,3000.0,6500.0,3013.0,5000.0,3000.0,0
170000.0,1.0,2.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,150693.0,154424.0,148564.0,105858.0,105075.0,107358.0,7000.0,7000.0,4000.0,4000.0,4000.0,4000.0,0
310000.0,2.0,2.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,113529.0,116101.0,119953.0,119583.0,120837.0,99114.0,5000.0,6000.0,5005.0,5000.0,4000.0,3000.0,0
140000.0,2.0,1.0,1.0,40.0,2.0,2.0,2.0,2.0,2.0,2.0,21952.0,27540.0,31785.0,30980.0,33162.0,32497.0,6300.0,5000.0,0.0,3000.0,0.0,3000.0,1
30000.0,2.0,3.0,1.0,41.0,0.0,0.0,2.0,0.0,0.0,0.0,30518.0,34984.0,30321.0,23610.0,20614.0,18873.0,5002.0,7.0,1511.0,5005.0,5183.0,5108.0,0
240000.0,2.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,173677.0,176304.0,355496.0,176402.0,174440.0,172806.0,8000.0,9500.0,12448.0,6155.0,6453.0,6390.0,0
20000.0,2.0,2.0,2.0,21.0,1.0,2.0,2.0,0.0,0.0,0.0,18455.0,13081.0,12582.0,14255.0,14138.0,16138.0,1327.0,0.0,2000.0,283.0,2000.0,859.0,0
327680.0,1.0,3.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,344011.0,336175.0,333048.0,277250.0,256365.0,243600.0,11219.0,11461.0,9100.0,8345.0,7783.0,9200.0,0
60000.0,1.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,31348.0,50778.0,53407.0,19443.0,16597.0,18423.0,20109.0,5000.0,2000.0,1000.0,2000.0,1000.0,0
